condition_name,condition_group,condition_value,n_trials,mean_fixations_all,std_fixations_all,accuracy_by_8_fixations_all,found_within_3_fixations_rate_all,found_within_3_fixations_count_all,not_found_within_3_fixations_count_all,mean_fixations_target_different,std_fixations_target_different,accuracy_target_different,found_within_3_fixations_rate_target_different,found_within_3_fixations_count_target_different,not_found_within_3_fixations_count_target_different,mean_fixations_target_identical,std_fixations_target_identical,accuracy_target_identical,found_within_3_fixations_rate_target_identical,found_within_3_fixations_count_target_identical,not_found_within_3_fixations_count_target_identical,mean_score_target_all,mean_score_max_distractor_all,mean_score_mean_distractor_all,mean_score_margin_all,std_score_margin_all,mean_target_rank_all,top1_rate_all,mean_p_target_all,mean_score_target_target_different,mean_score_max_distractor_target_different,mean_score_mean_distractor_target_different,mean_score_margin_target_different,std_score_margin_target_different,mean_target_rank_target_different,top1_rate_target_different,mean_p_target_target_different,mean_score_target_target_identical,mean_score_max_distractor_target_identical,mean_score_mean_distractor_target_identical,mean_score_margin_target_identical,std_score_margin_target_identical,mean_target_rank_target_identical,top1_rate_target_identical,mean_p_target_target_identical,transform,experiment
scale_1,scale,1.0,500,3.2679998874664307,2.268959283828736,1.0,0.6159999966621399,308,192,4.0,2.353720426559448,1.0,0.4699999988079071,94,106,2.7799999713897705,2.071617841720581,1.0,0.7133333086967468,214,86,38.94662857055664,43.621524810791016,24.78741455078125,-4.674895286560059,33.993309020996094,2.2679998874664307,0.2960000038146972,0.2992406785488128,29.59088706970215,42.1358757019043,23.92812728881836,-12.544987678527832,24.53789520263672,3.0,0.1800000071525573,0.1892958432435989,45.18378829956055,44.611961364746094,25.36027336120605,0.5718331933021545,38.15340423583984,1.7799999713897705,0.3733333349227905,0.3725372850894928,other,results_baseline_8cat_smoothed_alpha_target_b3
blur_0,blur_radius,0.0,500,3.2679998874664307,2.268959283828736,1.0,0.6159999966621399,308,192,4.0,2.353720426559448,1.0,0.4699999988079071,94,106,2.7799999713897705,2.071617841720581,1.0,0.7133333086967468,214,86,38.94662857055664,43.621524810791016,24.78741455078125,-4.674895286560059,33.993309020996094,2.2679998874664307,0.2960000038146972,0.2992406785488128,29.59088706970215,42.1358757019043,23.92812728881836,-12.544987678527832,24.53789520263672,3.0,0.1800000071525573,0.1892958432435989,45.18378829956055,44.611961364746094,25.36027336120605,0.5718331933021545,38.15340423583984,1.7799999713897705,0.3733333349227905,0.3725372850894928,blur,results_blur_8cat_smoothed_alpha_target_b3
blur_0.5,blur_radius,0.5,500,3.319999933242798,2.3155128955841064,1.0,0.6159999966621399,308,192,4.090000152587891,2.383673429489136,1.0,0.4799999892711639,96,104,2.806666612625122,2.118794202804565,1.0,0.7066666483879089,212,88,38.400665283203125,43.565860748291016,24.573843002319336,-5.165195465087891,33.295040130615234,2.319999933242798,0.2960000038146972,0.2963266372680664,29.332347869873047,42.10604476928711,23.91582489013672,-12.77369499206543,24.16942596435547,3.0899999141693115,0.1700000017881393,0.1819598972797393,44.44620895385742,44.53907012939453,25.012523651123047,-0.092862345278263,37.334129333496094,1.806666612625122,0.3799999952316284,0.3725711703300476,blur,results_blur_8cat_smoothed_alpha_target_b3
blur_1,blur_radius,1.0,500,3.440000057220459,2.3234457969665527,1.0,0.5920000076293945,296,204,4.150000095367432,2.3973944187164307,1.0,0.449999988079071,90,110,2.9666666984558105,2.1460559368133545,1.0,0.6866666674613953,206,94,34.928524017333984,41.8211555480957,23.43886375427246,-6.892631530761719,29.70990753173828,2.440000057220459,0.2759999930858612,0.2768535315990448,28.53314018249512,42.04632186889648,23.890283584594727,-13.51318359375,23.23012924194336,3.150000095367432,0.1800000071525573,0.1774541437625885,39.19211196899414,41.671043395996094,23.137916564941406,-2.4789302349090576,32.59861755371094,1.9666666984558103,0.3400000035762787,0.3431198000907898,blur,results_blur_8cat_smoothed_alpha_target_b3
blur_2,blur_radius,2.0,500,3.700000047683716,2.306946039199829,1.0,0.5320000052452087,266,234,4.400000095367432,2.353720426559448,1.0,0.3899999856948852,78,122,3.2333333492279053,2.152259826660156,1.0,0.6266666650772095,188,112,27.840761184692383,38.56732940673828,21.78148078918457,-10.726566314697266,21.006746292114254,2.700000047683716,0.2199999988079071,0.2300633490085601,25.52803421020508,41.896766662597656,23.851726531982425,-16.368730545043945,20.706687927246094,3.400000095367432,0.1400000005960464,0.1440775841474533,29.382577896118164,36.34770202636719,20.401317596435547,-6.965123653411865,20.353294372558597,2.2333333492279053,0.273333340883255,0.2873872220516205,blur,results_blur_8cat_smoothed_alpha_target_b3
blur_3,blur_radius,3.0,500,3.983999967575073,2.3288934230804443,1.0,0.4839999973773956,242,258,4.690000057220459,2.248088121414185,1.0,0.3400000035762787,68,132,3.513333320617676,2.261965751647949,1.0,0.5799999833106995,174,126,23.161670684814453,36.25078201293945,20.63674545288086,-13.089111328125,16.796157836914062,2.983999967575073,0.1759999990463256,0.1771925836801529,22.92291259765625,41.82267761230469,23.85421371459961,-18.89976119995117,19.37860107421875,3.690000057220459,0.1000000014901161,0.0978253930807113,23.320838928222656,32.53618621826172,18.49176788330078,-9.21534538269043,13.502453804016112,2.513333320617676,0.2266666740179062,0.2301040440797805,blur,results_blur_8cat_smoothed_alpha_target_b3
blur_0,blur_radius,0.0,500,3.2679998874664307,2.268959283828736,1.0,0.6159999966621399,308,192,4.0,2.353720426559448,1.0,0.4699999988079071,94,106,2.7799999713897705,2.071617841720581,1.0,0.7133333086967468,214,86,38.94662857055664,43.621524810791016,24.78741455078125,-4.674895286560059,33.993309020996094,2.2679998874664307,0.2960000038146972,0.2992406785488128,29.59088706970215,42.1358757019043,23.92812728881836,-12.544987678527832,24.53789520263672,3.0,0.1800000071525573,0.1892958432435989,45.18378829956055,44.611961364746094,25.36027336120605,0.5718331933021545,38.15340423583984,1.7799999713897705,0.3733333349227905,0.3725372850894928,blur,results_blur_strong_8cat_smoothed_alpha_target_b3
blur_1,blur_radius,1.0,500,3.440000057220459,2.3234457969665527,1.0,0.5920000076293945,296,204,4.150000095367432,2.3973944187164307,1.0,0.449999988079071,90,110,2.9666666984558105,2.1460559368133545,1.0,0.6866666674613953,206,94,34.928524017333984,41.8211555480957,23.43886375427246,-6.892631530761719,29.70990753173828,2.440000057220459,0.2759999930858612,0.2768535315990448,28.53314018249512,42.04632186889648,23.890283584594727,-13.51318359375,23.23012924194336,3.150000095367432,0.1800000071525573,0.1774541437625885,39.19211196899414,41.671043395996094,23.137916564941406,-2.4789302349090576,32.59861755371094,1.9666666984558103,0.3400000035762787,0.3431198000907898,blur,results_blur_strong_8cat_smoothed_alpha_target_b3
blur_2,blur_radius,2.0,500,3.700000047683716,2.306946039199829,1.0,0.5320000052452087,266,234,4.400000095367432,2.353720426559448,1.0,0.3899999856948852,78,122,3.2333333492279053,2.152259826660156,1.0,0.6266666650772095,188,112,27.840761184692383,38.56732940673828,21.78148078918457,-10.726566314697266,21.006746292114254,2.700000047683716,0.2199999988079071,0.2300633490085601,25.52803421020508,41.896766662597656,23.851726531982425,-16.368730545043945,20.706687927246094,3.400000095367432,0.1400000005960464,0.1440775841474533,29.382577896118164,36.34770202636719,20.401317596435547,-6.965123653411865,20.353294372558597,2.2333333492279053,0.273333340883255,0.2873872220516205,blur,results_blur_strong_8cat_smoothed_alpha_target_b3
blur_4,blur_radius,4.0,500,4.251999855041504,2.364000082015991,1.0,0.4399999976158142,220,280,5.050000190734863,2.251110792160034,1.0,0.2899999916553497,58,142,3.7200000286102295,2.286540269851685,1.0,0.5400000214576721,162,138,20.667633056640625,35.01455307006836,20.012470245361328,-14.346920013427734,16.451236724853516,3.252000093460083,0.1560000032186508,0.1448760628700256,20.87322235107422,41.81412506103516,23.87715530395508,-20.940902709960938,19.897640228271484,4.050000190734863,0.0700000002980232,0.0693081095814704,20.53056907653809,30.48149681091309,17.436012268066406,-9.95093059539795,11.782027244567873,2.720000028610229,0.2133333384990692,0.195254698395729,blur,results_blur_strong_8cat_smoothed_alpha_target_b3
